,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
7,0.6111111111111112,7,0.23809523809523808,0.17223252937538652,sklearn,zoo
8,0.7222222222222222,8,0.09523809523809523,0.047619047619047616,sklearn,zoo
9,0.8333333333333334,9,0.38095238095238093,0.07881773399014778,sklearn,zoo
0,0.0,0,0.7592592592592593,0.7591766723842195,sklearn,heart-statlog
1,0.07142857142857142,1,0.6296296296296297,0.6103896103896105,sklearn,heart-statlog
2,0.14285714285714285,2,0.6111111111111112,0.5050196420776953,sklearn,heart-statlog
3,0.21428571428571427,3,0.5925925925925926,0.4427767354596623,sklearn,heart-statlog
4,0.35714285714285715,4,0.5555555555555556,0.35714285714285715,sklearn,heart-statlog
5,0.42857142857142855,5,0.5555555555555556,0.35714285714285715,sklearn,heart-statlog
6,0.5,5,0.5555555555555556,0.35714285714285715,sklearn,heart-statlog
7,0.6428571428571429,7,0.5555555555555556,0.35714285714285715,sklearn,heart-statlog
8,0.7142857142857143,8,0.5555555555555556,0.35714285714285715,sklearn,heart-statlog
9,0.7857142857142857,8,0.5555555555555556,0.35714285714285715,sklearn,heart-statlog
0,0.0,0,0.843,0.8428361546603611,sklearn,waveform-5000
1,0.0975609756097561,1,0.779,0.7784313621577793,sklearn,waveform-5000
2,0.1951219512195122,2,0.788,0.7884380825242877,sklearn,waveform-5000
3,0.2926829268292683,3,0.775,0.7743601532847041,sklearn,waveform-5000
4,0.3902439024390244,4,0.739,0.7368781136824735,sklearn,waveform-5000
5,0.4878048780487805,5,0.69,0.6725533977776325,sklearn,waveform-5000
6,0.5853658536585366,6,0.454,0.43888695661890936,sklearn,waveform-5000
7,0.6829268292682927,7,0.454,0.43888695661890936,sklearn,waveform-5000
8,0.7804878048780488,8,0.426,0.3493610569633961,sklearn,waveform-5000
9,0.8780487804878049,9,0.43799999999999994,0.3530704564820997,sklearn,waveform-5000
0,0.0,0,0.921875,0.9213558255672212,sklearn,kr-vs-kp
1,0.08108108108108109,1,0.78125,0.780476092474446,sklearn,kr-vs-kp
2,0.1891891891891892,2,0.78125,0.780476092474446,sklearn,kr-vs-kp
3,0.2702702702702703,3,0.6953125,0.6927009078619812,sklearn,kr-vs-kp
4,0.3783783783783784,4,0.6953125,0.6927009078619812,sklearn,kr-vs-kp
5,0.4864864864864865,5,0.6953125,0.6927009078619812,sklearn,kr-vs-kp
6,0.5675675675675675,6,0.6953125,0.6927009078619812,sklearn,kr-vs-kp
7,0.6756756756756757,7,0.65625,0.6493150684931508,sklearn,kr-vs-kp
8,0.7567567567567568,8,0.65625,0.6493150684931508,sklearn,kr-vs-kp
9,0.8648648648648649,9,0.65625,0.6493150684931508,sklearn,kr-vs-kp
0,0.0,0,0.7532467532467532,0.7124606918238994,sklearn,diabetes
1,0.1111111111111111,2,0.7597402597402597,0.7216006253969804,sklearn,diabetes
2,0.2222222222222222,3,0.7662337662337663,0.7275943396226415,sklearn,diabetes
