,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
8,0.7368421052631579,8,0.7333333333333333,0.4616079494128275,rw,lymph
9,0.8421052631578947,9,0.7333333333333333,0.4616079494128275,rw,lymph
0,0.0,0,0.7294117647058823,0.733484646389551,rw,vehicle
1,0.05263157894736842,1,0.735294117647059,0.7394113125807916,rw,vehicle
2,0.15789473684210525,2,0.7058823529411765,0.7056303197607545,rw,vehicle
3,0.2631578947368421,3,0.6823529411764706,0.6853284562276649,rw,vehicle
4,0.3684210526315789,4,0.6352941176470588,0.6421867967522924,rw,vehicle
5,0.47368421052631576,5,0.4235294117647059,0.350656051894442,rw,vehicle
6,0.5263157894736842,6,0.36470588235294116,0.3180720687762941,rw,vehicle
7,0.631578947368421,7,0.34705882352941175,0.31211178117318017,rw,vehicle
8,0.7368421052631579,8,0.32941176470588235,0.2992069061242115,rw,vehicle
9,0.8421052631578947,9,0.27058823529411763,0.1614817993277551,rw,vehicle
0,0.0,0,0.9333333333333333,0.9333333333333332,rw,iris
1,0.2,2,0.9333333333333333,0.9333333333333332,rw,iris
2,0.4,4,0.9333333333333333,0.9333333333333332,rw,iris
3,0.6,6,0.3333333333333333,0.16666666666666666,rw,iris
0,0.0,0,1.0,1.0,rw,splice
1,0.0967741935483871,1,1.0,1.0,rw,splice
2,0.1935483870967742,2,1.0,1.0,rw,splice
3,0.2903225806451613,3,1.0,1.0,rw,splice
4,0.3870967741935484,4,1.0,1.0,rw,splice
5,0.4838709677419355,5,1.0,1.0,rw,splice
6,0.5806451612903226,6,1.0,1.0,rw,splice
7,0.6774193548387096,7,1.0,1.0,rw,splice
8,0.7741935483870968,8,1.0,1.0,rw,splice
9,0.8709677419354839,9,1.0,1.0,rw,splice
0,0.0,0,0.6904761904761905,0.6888888888888889,rw,sonar
1,0.09836065573770492,1,0.8095238095238095,0.8095238095238095,rw,sonar
2,0.19672131147540983,2,0.7380952380952381,0.7306122448979592,rw,sonar
3,0.29508196721311475,3,0.6666666666666666,0.625,rw,sonar
4,0.39344262295081966,4,0.5952380952380952,0.49109052031361367,rw,sonar
5,0.4918032786885246,5,0.5714285714285714,0.4457478005865103,rw,sonar
6,0.5901639344262295,6,0.5714285714285714,0.47500000000000003,rw,sonar
7,0.6885245901639344,7,0.5238095238095238,0.34375000000000006,rw,sonar
8,0.7868852459016393,8,0.5238095238095238,0.34375000000000006,rw,sonar
9,0.8852459016393442,9,0.5238095238095238,0.34375000000000006,rw,sonar
0,0.0,0,0.7676767676767676,0.7692857607718289,rw,vowel
1,0.07142857142857142,1,0.7525252525252525,0.7556180017198876,rw,vowel
2,0.14285714285714285,2,0.7222222222222222,0.7262811460672423,rw,vowel
3,0.21428571428571427,3,0.29292929292929293,0.28255032142261816,rw,vowel
4,0.35714285714285715,4,0.2171717171717172,0.18672301143999254,rw,vowel
5,0.42857142857142855,5,0.20707070707070707,0.17023305868225655,rw,vowel
6,0.5,5,0.13131313131313133,0.07383021090831873,rw,vowel
7,0.6428571428571429,7,0.09090909090909091,0.015151515151515154,rw,vowel
8,0.7142857142857143,8,0.09090909090909091,0.015151515151515154,rw,vowel
9,0.7857142857142857,8,0.09090909090909091,0.015151515151515154,rw,vowel
0,0.0,0,0.9393939393939394,0.9385577150505187,rw,segment
1,0.05,1,0.948051948051948,0.9474344532840494,rw,segment
2,0.15,2,0.948051948051948,0.9474344532840494,rw,segment
3,0.25,3,0.8571428571428571,0.8467305870851247,rw,segment
4,0.35,4,0.8203463203463204,0.8124399947832004,rw,segment
5,0.45,5,0.8181818181818182,0.8108060598290053,rw,segment
6,0.55,6,0.7186147186147186,0.6826473396005025,rw,segment
7,0.65,7,0.4458874458874459,0.31472477333212767,rw,segment
8,0.75,8,0.2792207792207792,0.1414356787491116,rw,segment
9,0.85,9,0.2792207792207792,0.1414356787491116,rw,segment
0,0.0,0,0.9047619047619048,0.7333333333333334,rw,zoo
1,0.05555555555555555,1,0.9047619047619048,0.7333333333333334,rw,zoo
2,0.16666666666666666,2,0.38095238095238093,0.07881773399014778,rw,zoo
3,0.2777777777777778,3,0.38095238095238093,0.07881773399014778,rw,zoo
4,0.3333333333333333,4,0.38095238095238093,0.07881773399014778,rw,zoo
5,0.4444444444444444,5,0.38095238095238093,0.07881773399014778,rw,zoo
6,0.5555555555555556,6,0.38095238095238093,0.07881773399014778,rw,zoo
7,0.6111111111111112,7,0.38095238095238093,0.07881773399014778,rw,zoo
8,0.7222222222222222,8,0.38095238095238093,0.07881773399014778,rw,zoo
9,0.8333333333333334,9,0.047619047619047616,0.012987012987012986,rw,zoo
0,0.0,0,0.7592592592592593,0.758513931888545,rw,heart-statlog
1,0.07142857142857142,1,0.7037037037037037,0.7,rw,heart-statlog
2,0.14285714285714285,2,0.6666666666666666,0.6548295454545454,rw,heart-statlog
3,0.21428571428571427,3,0.6666666666666666,0.6426470588235293,rw,heart-statlog
4,0.35714285714285715,4,0.7407407407407407,0.7157894736842105,rw,heart-statlog
5,0.42857142857142855,5,0.7407407407407407,0.7157894736842105,rw,heart-statlog
6,0.5,5,0.7407407407407407,0.7220588235294118,rw,heart-statlog
7,0.6428571428571429,7,0.7222222222222222,0.6916634944803959,rw,heart-statlog
8,0.7142857142857143,8,0.5925925925925926,0.5632352941176471,rw,heart-statlog
9,0.7857142857142857,8,0.7777777777777778,0.7727910238429173,rw,heart-statlog
0,0.0,0,0.774,0.7741243193903021,rw,waveform-5000
1,0.0975609756097561,1,0.771,0.7709921032042296,rw,waveform-5000
2,0.1951219512195122,2,0.748,0.7477142587253107,rw,waveform-5000
3,0.2926829268292683,3,0.734,0.7327966199347032,rw,waveform-5000
4,0.3902439024390244,4,0.707,0.7075691130683194,rw,waveform-5000
5,0.4878048780487805,5,0.694,0.6931973608630947,rw,waveform-5000
6,0.5853658536585366,6,0.562,0.522495170988712,rw,waveform-5000
7,0.6829268292682927,7,0.537,0.5118556477658777,rw,waveform-5000
8,0.7804878048780488,8,0.537,0.506497928607911,rw,waveform-5000
9,0.8780487804878049,9,0.48,0.453248607028183,rw,waveform-5000
0,0.0,0,0.9859375,0.985900012484364,rw,kr-vs-kp
1,0.08108108108108109,1,0.625,0.5481077009979287,rw,kr-vs-kp
2,0.1891891891891892,2,0.6109375,0.5274567888055652,rw,kr-vs-kp
3,0.2702702702702703,3,0.621875,0.5471345029239766,rw,kr-vs-kp
4,0.3783783783783784,4,0.753125,0.7487976469653006,rw,kr-vs-kp
5,0.4864864864864865,5,0.7640625000000001,0.7596205267752985,rw,kr-vs-kp
6,0.5675675675675675,6,0.7546875,0.749395811458258,rw,kr-vs-kp
7,0.6756756756756757,7,0.7453125,0.7382675782475068,rw,kr-vs-kp
8,0.7567567567567568,8,0.75,0.7399193343560463,rw,kr-vs-kp
9,0.8648648648648649,9,0.65625,0.6493150684931508,rw,kr-vs-kp
0,0.0,0,0.6948051948051948,0.6572105138527115,rw,diabetes
1,0.1111111111111111,2,0.6688311688311688,0.6280369405635804,rw,diabetes
2,0.2222222222222222,3,0.6948051948051948,0.6501860712387029,rw,diabetes
3,0.3333333333333333,4,0.7207792207792207,0.6506462674756001,rw,diabetes
4,0.4444444444444444,5,0.7467532467532466,0.6918577805140835,rw,diabetes
5,0.5555555555555556,6,0.7337662337662337,0.671607635096479,rw,diabetes
6,0.6666666666666666,7,0.7077922077922078,0.6231032794909446,rw,diabetes
7,0.7777777777777778,8,0.7337662337662337,0.6509866784589022,rw,diabetes
0,0.0,0,0.82825,0.8299545397918565,rw,letter
1,0.058823529411764705,1,0.7875,0.7888665979943608,rw,letter
2,0.17647058823529413,2,0.61775,0.6085601426018206,rw,letter
3,0.23529411764705882,3,0.56675,0.5545836815744611,rw,letter
4,0.35294117647058826,4,0.4285,0.4135544613575123,rw,letter
5,0.47058823529411764,5,0.21225,0.1843279724653137,rw,letter
6,0.5294117647058824,6,0.174,0.14786891816962772,rw,letter
7,0.6470588235294118,7,0.137,0.09855608087080744,rw,letter
8,0.7058823529411765,8,0.11225,0.06574427799841921,rw,letter
9,0.8235294117647058,9,0.03725,0.009337506970233946,rw,letter
0,0.0,0,0.856,0.6070790477570138,rw,balance-scale
1,0.2,2,0.664,0.47460666829705717,rw,balance-scale
2,0.4,4,0.44,0.2286764705882353,rw,balance-scale
3,0.6,6,0.456,0.2087912087912088,rw,balance-scale
