,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
3,0.2777777777777778,3,0.8571428571428571,0.6441102756892231,RF,zoo
4,0.3333333333333333,4,0.8571428571428571,0.6441102756892231,RF,zoo
5,0.4444444444444444,5,0.8095238095238095,0.5806182121971596,RF,zoo
6,0.5555555555555556,6,0.7142857142857143,0.37142857142857144,RF,zoo
7,0.6111111111111112,7,0.7142857142857143,0.37142857142857144,RF,zoo
8,0.7222222222222222,8,0.5714285714285714,0.20219780219780217,RF,zoo
9,0.8333333333333334,9,0.38095238095238093,0.07881773399014778,RF,zoo
0,0.0,0,0.7592592592592593,0.7571774472500865,RF,heart-statlog
1,0.07142857142857142,1,0.6851851851851852,0.6824628156347284,RF,heart-statlog
2,0.14285714285714285,2,0.7777777777777778,0.7698863636363635,RF,heart-statlog
3,0.21428571428571427,3,0.7962962962962963,0.7904761904761906,RF,heart-statlog
4,0.35714285714285715,4,0.8148148148148148,0.8106591865357644,RF,heart-statlog
5,0.42857142857142855,5,0.7962962962962963,0.7928147889780259,RF,heart-statlog
6,0.5,5,0.7962962962962963,0.7928147889780259,RF,heart-statlog
7,0.6428571428571429,7,0.8333333333333334,0.8318920788654445,RF,heart-statlog
8,0.7142857142857143,8,0.7962962962962963,0.7956656346749226,RF,heart-statlog
9,0.7857142857142857,8,0.7962962962962963,0.7956656346749226,RF,heart-statlog
0,0.0,0,0.872,0.8716376600483122,RF,waveform-5000
1,0.0975609756097561,1,0.871,0.8706637801725475,RF,waveform-5000
2,0.1951219512195122,2,0.839,0.8391844157838232,RF,waveform-5000
3,0.2926829268292683,3,0.8399999999999999,0.8401812412616257,RF,waveform-5000
4,0.3902439024390244,4,0.825,0.8240688060295595,RF,waveform-5000
5,0.4878048780487805,5,0.793,0.7931054908037192,RF,waveform-5000
6,0.5853658536585366,6,0.656,0.6502976372642485,RF,waveform-5000
7,0.6829268292682927,7,0.652,0.647197042678898,RF,waveform-5000
8,0.7804878048780488,8,0.625,0.6159480005994593,RF,waveform-5000
9,0.8780487804878049,9,0.573,0.5019406783235464,RF,waveform-5000
0,0.0,0,0.96875,0.968671679197995,RF,kr-vs-kp
1,0.08108108108108109,1,0.8484375,0.8483541984732825,RF,kr-vs-kp
2,0.1891891891891892,2,0.8171874999999998,0.8165744394717697,RF,kr-vs-kp
3,0.2702702702702703,3,0.7640625000000001,0.7632712851302327,RF,kr-vs-kp
4,0.3783783783783784,4,0.7671874999999999,0.7664067647973818,RF,kr-vs-kp
5,0.4864864864864865,5,0.7609374999999999,0.7600464615919956,RF,kr-vs-kp
6,0.5675675675675675,6,0.7578125,0.7568144656169485,RF,kr-vs-kp
7,0.6756756756756757,7,0.7578125,0.7574423864539397,RF,kr-vs-kp
8,0.7567567567567568,8,0.7546875,0.7543702682419433,RF,kr-vs-kp
9,0.8648648648648649,9,0.6859375,0.680024674714139,RF,kr-vs-kp
0,0.0,0,0.7402597402597403,0.7096530920060331,RF,diabetes
1,0.1111111111111111,2,0.7337662337662337,0.7037766830870279,RF,diabetes
2,0.2222222222222222,3,0.7467532467532466,0.7155576604309732,RF,diabetes
3,0.3333333333333333,4,0.7597402597402597,0.7216006253969804,RF,diabetes
4,0.4444444444444444,5,0.7402597402597403,0.6937760986279579,RF,diabetes
5,0.5555555555555556,6,0.7402597402597403,0.6726190476190477,RF,diabetes
6,0.6666666666666666,7,0.7272727272727273,0.6453947368421052,RF,diabetes
7,0.7777777777777778,8,0.7337662337662337,0.6509866784589022,RF,diabetes
0,0.0,0,0.8435,0.8439453144752698,RF,letter
1,0.058823529411764705,1,0.819,0.8207459179720598,RF,letter
2,0.17647058823529413,2,0.7755,0.7773480716674546,RF,letter
3,0.23529411764705882,3,0.72975,0.7367499683765372,RF,letter
4,0.35294117647058826,4,0.6225,0.6132686120025708,RF,letter
5,0.47058823529411764,5,0.46575,0.42690103135206026,RF,letter
