,missing_percentage,difficulty,f1_micro,f1_macro,identifier,dataset
6,0.5,5,0.17676767676767677,0.14741035511786496,wekaJ48,vowel
7,0.6428571428571429,7,0.06565656565656566,0.03655772414292741,wekaJ48,vowel
8,0.7142857142857143,8,0.1111111111111111,0.0451610101404903,wekaJ48,vowel
9,0.7857142857142857,8,0.10101010101010101,0.0309828279137742,wekaJ48,vowel
0,0.0,0,0.9653679653679653,0.9651420428805123,wekaJ48,segment
1,0.05,1,0.8484848484848486,0.8310879474012325,wekaJ48,segment
2,0.15,2,0.8463203463203464,0.829011139179275,wekaJ48,segment
3,0.25,3,0.7467532467532466,0.7134542105291743,wekaJ48,segment
4,0.35,4,0.670995670995671,0.6384153016805918,wekaJ48,segment
5,0.45,5,0.645021645021645,0.5953791525733064,wekaJ48,segment
6,0.55,6,0.5043290043290043,0.4418084112996978,wekaJ48,segment
7,0.65,7,0.5,0.4227264805880661,wekaJ48,segment
8,0.75,8,0.3333333333333333,0.20972887604547044,wekaJ48,segment
9,0.85,9,0.3181818181818182,0.20393363288080923,wekaJ48,segment
0,0.0,0,0.9047619047619048,0.7333333333333333,wekaJ48,zoo
1,0.05555555555555555,1,0.9047619047619048,0.7333333333333333,wekaJ48,zoo
2,0.16666666666666666,2,0.5714285714285714,0.23428571428571426,wekaJ48,zoo
3,0.2777777777777778,3,0.38095238095238093,0.07881773399014778,wekaJ48,zoo
4,0.3333333333333333,4,0.38095238095238093,0.07881773399014778,wekaJ48,zoo
5,0.4444444444444444,5,0.38095238095238093,0.07881773399014778,wekaJ48,zoo
6,0.5555555555555556,6,0.38095238095238093,0.07881773399014778,wekaJ48,zoo
7,0.6111111111111112,7,0.38095238095238093,0.07881773399014778,wekaJ48,zoo
8,0.7222222222222222,8,0.38095238095238093,0.07881773399014778,wekaJ48,zoo
9,0.8333333333333334,9,0.38095238095238093,0.07881773399014778,wekaJ48,zoo
0,0.0,0,0.7407407407407407,0.7407407407407408,wekaJ48,heart-statlog
1,0.07142857142857142,1,0.5740740740740741,0.5619047619047619,wekaJ48,heart-statlog
2,0.14285714285714285,2,0.7407407407407407,0.7315340909090908,wekaJ48,heart-statlog
3,0.21428571428571427,3,0.7407407407407407,0.7220588235294118,wekaJ48,heart-statlog
4,0.35714285714285715,4,0.7777777777777778,0.7727910238429173,wekaJ48,heart-statlog
5,0.42857142857142855,5,0.7777777777777778,0.7727910238429173,wekaJ48,heart-statlog
6,0.5,5,0.7777777777777778,0.7727910238429173,wekaJ48,heart-statlog
7,0.6428571428571429,7,0.7777777777777778,0.7727910238429173,wekaJ48,heart-statlog
8,0.7142857142857143,8,0.7777777777777778,0.7727910238429173,wekaJ48,heart-statlog
9,0.7857142857142857,8,0.7777777777777778,0.7727910238429173,wekaJ48,heart-statlog
0,0.0,0,0.762,0.7622085310079095,wekaJ48,waveform-5000
